,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
1376,officials,437002,31824,65,6723.107692307693,489.6
1384,boy,187600,10322,26,7215.384615384615,397.0
1391,forced,86702,6091,18,4816.777777777777,338.3888888888889
1394,special,7097,850,16,443.5625,53.125
1401,fires,76472,5773,27,2832.296296296296,213.8148148148148
1402,month,118646,7766,20,5932.3,388.3
1404,since,261232,28233,32,8163.5,882.28125
1422,military,135624,7901,48,2825.5,164.60416666666666
1428,still,29866,2651,23,1298.5217391304348,115.26086956521739
1442,crim,89536,6733,18,4974.222222222223,374.05555555555554
1448,ends,21477,3914,16,1342.3125,244.625
1452,justice,169301,16042,32,5290.65625,501.3125
1455,nursing,20612,2605,16,1288.25,162.8125
1464,car,169675,16452,50,3393.5,329.04
1465,german,46302,4273,23,2013.1304347826087,185.7826086956522
1473,area,65387,6857,17,3846.294117647059,403.3529411764706
1476,despite,117316,7317,20,5865.8,365.85
1478,files,487763,24767,23,21207.08695652174,1076.8260869565217
1486,faces,125545,10971,41,3062.0731707317073,267.5853658536585
1492,private,138600,6157,16,8662.5,384.8125
1498,billion,641939,41085,59,10880.322033898305,696.3559322033898
1500,resign,49440,4409,19,2602.1052631578946,232.05263157894737
1503,official,239011,16301,32,7469.09375,509.40625
1512,amid,251562,20462,78,3225.153846153846,262.3333333333333
1513,las,121934,7107,17,7172.588235294118,418.05882352941177
1514,vegas,62920,5390,17,3701.176470588235,317.05882352941177
1516,reopen,93429,9566,20,4671.45,478.3
1521,leave,176973,16999,27,6554.555555555556,629.5925925925926
1528,officers,1398570,90488,85,16453.764705882353,1064.5647058823529
1530,guilty,292869,15500,37,7915.378378378378,418.9189189189189
1533,gun,390696,35449,37,10559.351351351352,958.081081081081
1534,capitol,3375984,242804,167,20215.473053892216,1453.9161676646706
1537,variant,17321,4487,24,721.7083333333334,186.95833333333334
1540,university,82396,6865,28,2942.714285714286,245.17857142857142
1574,schools,106193,8942,30,3539.766666666667,298.06666666666666
1575,emergency,227281,17202,31,7331.645161290323,554.9032258064516
1576,canada,96526,6486,35,2757.885714285714,185.31428571428572
1587,violent,129474,8258,26,4979.7692307692305,317.61538461538464
1588,biden,285298,20826,22,12968.09090909091,946.6363636363636
1590,doses,132273,10249,18,7348.5,569.3888888888889
1592,offic,224784,16445,26,8645.538461538461,632.5
1603,build,63284,5159,16,3955.25,322.4375
1612,drug,113764,7211,47,2420.5106382978724,153.4255319148936
1614,governor,470771,25317,35,13450.6,723.3428571428572
1617,cut,15749,2180,23,684.7391304347826,94.78260869565217
1622,google,174892,13748,30,5829.733333333334,458.26666666666665
1634,deaths,102810,8057,28,3671.785714285714,287.75
1646,caught,226412,10017,27,8385.62962962963,371.0
1647,camera,117023,6515,18,6501.277777777777,361.94444444444446
1655,girl,422682,26252,45,9392.933333333332,583.3777777777777
1656,major,178052,13921,29,6139.724137931034,480.0344827586207
